titulo,descripcion,proceso,usuario,estado,cantidad,inicio,fin
DIO2023,PLEG ALGISIL JARABE X 90ML,,j.rivera,Finalizado,0,,2025-11-17 04:41:38
APP12345,CAJAS,,j.rivera,En curso,0,2025-11-17 04:42:00,
